"","STATIONID","STATION"
"750","USW00025339","YAKUTAT AP"
"751","USW00025367","KLAWOCK AP"
"752","USW00025501","KODIAK AP"
"753","USW00025506","ILIAMNA AP"
"754","USW00025507","HOMER AP"
"755","USW00025516","SELDOVIA AP"
"756","USW00025519","EGEGIK AP"
"757","USW00025624","COLD BAY AP"
"758","USW00025628","ST GEORGE IS AP"
"759","USW00025704","ADAK AP"
"760","USW00025713","SAINT PAUL IS AP"
"761","USW00026410","CORDOVA AP"
"762","USW00026411","FAIRBANKS INTL AP"
"763","USW00026412","NORTHWAY AP"
"764","USW00026414","SUMMIT WSO AP"
"765","USW00026415","BIG DELTA AP"
"766","USW00026422","EAGLE AP"
"767","USW00026425","GULKANA AP"
"768","USW00026435","NENANA MUNI AP"
"769","USW00026438","SEWARD AP"
"770","USW00026439","SHEEP MTN CAA AP"
"771","USW00026445","YAKATAGA AP"
"772","USW00026451","ANCHORAGE TED STEVENS INTL AP"
"773","USW00026501","GALENA AP"
"774","USW00026502","KALTAG AP"
"775","USW00026509","GALENA AP"
"776","USW00026510","MCGRATH AP"
"777","USW00026516","ANIAK AP"
"778","USW00026519","FAREWELL FAA AP"
"779","USW00026523","KENAI AP"
"780","USW00026528","TALKEETNA AP"
"781","USW00026529","TANANA AP"
"782","USW00026533","BETTLES AP"
"783","USW00026615","BETHEL AP"
"784","USW00026616","KOTZEBUE AP"
"785","USW00026617","NOME AP"
"786","USW00026620","MOSES POINT FAA AP"
"787","USW00026628","GOLOVIN AP"
"788","USW00026635","MTN VILLAGE AP"
"789","USW00026642","KIVALINA AP"
"790","USW00026643","DEERING AP"
"791","USW00026644","ANVIK AP"
"792","USW00026653","TOKSOOK BAY AP"
"793","USW00027401","BARTER ISLAND WSO AP"
"794","USW00027502","BARROW AP"
"795","USW00027503","WAINWRIGHT AP"
"796","USW00027515","NUIQSUT AP"
"797","USW00053119","HANFORD MUNI AP"
"798","USW00053120","RAMONA AP"
"799","USW00053121","OCEANSIDE MUNI AP"
"800","USW00053123","LAS VEGAS AIR TERMINAL"
"801","USW00053127","LAS VEGAS HENDERSON AP"
"802","USW00053175","CORONA MUNICIPAL AP"
"803","USW00053802","MATTOON CHARLESTON COLES CO AP"
"804","USW00053803","OWENSBORO DAVIESS CO RGNL AP"
"805","USW00053808","LAUREL HATTIESBURG RGNL AP"
"806","USW00053838","GAINESVILLE LEE GILMER MEM AP"
"807","USW00053841","FRANKFORT CAPITAL CITY AP"
"808","USW00053842","INDIANAPOLIS EAGLE CREEK AP"
"809","USW00053843","ANDALUSIA OPP AP"
"810","USW00053844","LANCASTER FAIRFIELD CO AP"
"811","USW00053850","CLEMSON OCONEE CO AP"
"812","USW00053853","DESTIN FT WALTON BEACH AP"
"813","USW00053854","ORANGEBURG MUNI AP"
"814","USW00053855","HAMILTON BUTLER CO RGNL AP"
"815","USW00053858","PASCAGOULA LOTT INTL AP"
"816","USW00053859","DAYTON WRIGHT BROTHERS AP"
"817","USW00053860","JACKSONVILLE CRAIG MUNI AP"
"818","USW00053862","PERRY FOLEY AP"
"819","USW00053863","ATLANTA DEKALB PEACHTREE AP"
"820","USW00053864","ALABASTER SHELBY CO AP ASOS"
"821","USW00053865","SLIDELL AP"
"822","USW00053866","SHELBYVILLE MUNI AP"
"823","USW00053867","COLUMBIA OWENS DWTN AP"
"824","USW00053869","BLYTHEVILLE MUNI AP"
"825","USW00053870","GASTONIA MUNI AP"
"826","USW00053871","ROCK HILL YORK CO AP"
"827","USW00053872","MONROE AP"
"828","USW00053873","CARTERSVILLE AP"
"829","USW00053874","GREENWOOD CO AP"
"830","USW00053879","LEES SUMMIT MUNI AP"
"831","USW00053901","W PLAINS MUNI AP"
"832","USW00053902","CONROE MONTGOMERY CO AP"
"833","USW00053903","HUNTSVILLE MUNI AP"
"834","USW00053904","ST CHARLES CO AP"
"835","USW00053905","SHREVEPORT DWTN AP"
"836","USW00053907","ARLINGTON MUNI AP"
"837","USW00053908","TULSA RICHARD L JONES JR AP"
"838","USW00053909","FT WORTH ALLIANCE AP"
"839","USW00053910","HOUSTON HOOKS MEM AP"
"840","USW00053911","TERRELL MUNI AP"
"841","USW00053913","GUTHRIE MUNI AP"
"842","USW00053914","MCKINNEY MUNI AP"
"843","USW00053915","NEW IBERIA AP - ACADIANA RGNL"
"844","USW00053917","NEW ORLEANS LAKEFRONT AP"
"845","USW00053918","MTN HOME BAXTER CO RGNL AP"
"846","USW00053919","MONTICELLO MUNI AP"
"847","USW00053920","RUSSELLVILLE MUNI AP"
"848","USW00053925","DE QUEEN SEVIER CO AP"
"849","USW00053928","BRENHAM MUNI AP"
"850","USW00053931","KAISER AP"
"851","USW00053934","BATESVILLE RGNL AP"
"852","USW00053942","GEORGETOWN MUNI AP"
"853","USW00053948","NACOGDOCHES MANGHAM AP"
"854","USW00053952","WACO MCGREGOR EXEC AP"
"855","USW00053955","SILOAM SPRINGS AP"
"856","USW00053959","W MEMPHIS MUNI AP"
"857","USW00053964","DECATUR MUNI AP"
"858","USW00053965","GRAHAM MUNI AP"
"859","USW00053966","MID WAY RGNL AP"
"860","USW00053967","GRAYSON CO AP"
"861","USW00053970","MESQUITE METRO AP"
"862","USW00053972","HILLSBORO MUNI AP"
"863","USW00053973","HEARNE MUNI AP"
"864","USW00053975","LANCASTER AP"
"865","USW00053976","BRIDGEPORT MUNI AP"
"866","USW00053977","GRANBURY MUNI AP"
"867","USW00053979","GIDDINGS LEE CO AP"
"868","USW00053981","CLEBURNE MUNI AP"
"869","USW00053983","LLANO MUNI AP"
"870","USW00053984","GRAND PRAIRIE MUNI AP"
"871","USW00053985","SEARCY MUNI AP"
"872","USW00053996","MENA INTERMOUNTAIN AP"
"873","USW00053997","COMANCHE CO CITY AP"
"874","USW00054704","NORWOOD MEM AP"
"875","USW00054728","WHITEFIELD MT WASHINGTON RGNL"
"876","USW00054733","BEVERLY MUNI AP"
"877","USW00054734","DANBURY MUNI AP"
"878","USW00054737","LANCASTER AP"
"879","USW00054740","SPRINGFIELD HARTNESS STATE AP"
"880","USW00054743","CALDWELL ESSEX CO AP"
"881","USW00054756","ORANGE MUNI AP"
"882","USW00054757","WELLSVILLE MUNI AP"
"883","USW00054767","WILLIMANTIC WINDHAM AP"
"884","USW00054768","N ADAMS HARRIMAN AP"
"885","USW00054769","PLYMOUTH MUNI AP"
"886","USW00054770","JAFFREY MUNI AP SILVER RCH"
"887","USW00054771","MORRISVILLE STOWE STATE AP"
"888","USW00054772","FRYEBURG ESTRN SLOPES RGNL AP"
"889","USW00054773","FULTON OSWEGO CO AP"
"890","USW00054777","TAUNTON MUNI AP"
"891","USW00054778","PENN YAN AP"
"892","USW00054779","AEROFLEX-ANDOVER AP"
"893","USW00054780","MONTAUK AP"
"894","USW00054781","BENNINGTON MORSE STATE AP"
"895","USW00054782","HERITAGE FLD AP"
"896","USW00054785","SOMERSET AP"
"897","USW00054786","DOYLESTOWN AP"
"898","USW00054787","FARMINGDALE REPUBLIC AP"
"899","USW00054788","MERIDEN MARKHAM MUNI AP"
"900","USW00054790","SHIRLEY BROOKHAVEN AP"
"901","USW00054791","ROCHESTER SKYHAVEN AP"
"902","USW00054792","CLEARFIELD LAWRENCE AP"
"903","USW00054793","SUSSEX AP"
"904","USW00054831","BLOOMINGTON NORMAL AP"
"905","USW00054911","TAYLOR CO AP"
"906","USW00063803","LAWRENCEVILLE AP"
"907","USW00063813","MARIETTA COBB CO AP"
"908","USW00063870","FLORALA MUNI AP"
"909","USW00063871","BONIFAY TRI CO AP"
"910","USW00063872","EUFAULA WEEDON FLD AP"
"911","USW00063874","GREENVILLE MAC CRENSHAW MEM AP"
"912","USW00063888","SPRINGFIELD BECKLEY AP"
"913","USW00063904","TAYLOR MUNI AP"
"914","USW00064705","BUTLER CO AP"
"915","USW00064709","SANFORD RGNL AP"
"916","USW00064710","NORTH CENTRAL STATE AP"
"917","USW00064776","PLATTSBURGH INTL AP"
"918","USW00073805","NW FLORIDA BEACHES INTL AP"
"919","USW00092802","TAMPA BAY EXEC AP"
"920","USW00092809","HOLLYWOOD N PERRY AP"
"921","USW00092814","ST AUGUSTINE AP"
"922","USW00093005","DURANGO LA PLATA CO AP"
"923","USW00093009","LEADVILLE LAKE CO AP"
"924","USW00093013","MONTROSE RGNL AP"
"925","USW00093026","DOUGLAS (BISBEE) INTL AP"
"926","USW00093027","ST JOHNS IND AIR PK"
"927","USW00093033","CAVERN CITY AP"
"928","USW00093037","COLORADO SPRINGS MUNI AP"
"929","USW00093041","LAS CRUCES MUNI AP"
"930","USW00093042","DALHART FAA AP"
"931","USW00093045","TRUTH OR CONSEQUENCES MUNI AP"
"932","USW00093057","GRANTS MILAN MUNI AP"
"933","USW00093058","PUEBLO MEM AP"
"934","USW00093063","SILVER CITY CO AP"
"935","USW00093067","DENVER CENTENNIAL AP"
"936","USW00093069","CORTEZ MONTEZUMA CO AP"
"937","USW00093073","ASPEN PITKIN CO AP SARDY FLD"
"938","USW00093075","MOAB CANYONLAND AP"
"939","USW00093084","SAFFORD MUNI AP"
"940","USW00093097","ALAMOGORDO RGNL AP"
"941","USW00093110","OXNARD VENTURA CO AP"
"942","USW00093123","FALLON CAA AP"
"943","USW00093129","CEDAR CITY AP"
"944","USW00093141","PRICE CARBON CO AP"
"945","USW00093167","KINGMAN AP"
"946","USW00093184","SANTA ANA JOHN WAYNE AP"
"947","USW00093193","FRESNO YOSEMITE INTL"
"948","USW00093197","SANTA MONICA MUNI AP"
"949","USW00093198","ST GEORGE CAA AP"
"950","USW00093205","MARYSVILLE AP (ASOS)"
"951","USW00093209","PASO ROBLES MUNI AP"
"952","USW00093210","OROVILLE MUNI AP"
"953","USW00093225","SACRAMENTO METRO AP"
"954","USW00093227","NAPA CO AP"
"955","USW00093228","HAYWARD AIR TERMINAL"
"956","USW00093230","S LAKE TAHOE AP"
"957","USW00093241","VACAVILLE/NUT TREE AP ASOS"
"958","USW00093242","MADERA MUNI AP"
"959","USW00093706","HAGERSTOWN RGNL AP"
"960","USW00093720","SALISBURY-WICOMICO RGNL AP"
"961","USW00093721","BALTIMORE-WASHINGTON INTL AP"
"962","USW00093730","ATLANTIC CITY INTL AP"
"963","USW00093736","CHARLOTTESVILLE ALBEMARLE AP"
"964","USW00093738","WASHINGTON DULLES INTL AP"
"965","USW00093740","FAYETTEVILLE RGNL AP GRANNIS F"
"966","USW00093741","NEWPORT NEWS INTL AP"
"967","USW00093759","ROCKY MT WILSON AP"
"968","USW00093775","ASHLAND HANOVER CO MUNI AP"
"969","USW00093778","YORK AP"
"970","USW00093780","S JERSEY RGNL AP"
"971","USW00093781","ROANOKE RAPIDS HALIFAX CO AP"
"972","USW00093782","LAURINBURG MAXTON AP"
"973","USW00093783","BURLINGTON ALAMANCE RGNL AP"
"974","USW00093785","CHAPEL HILL WILLIAMS AP"
"975","USW00093786","OCEAN CITY MUNI AP"
"976","USW00093801","ROME R B RUSSELL AP"
"977","USW00093803","SMITHVILLE CAA AP"
"978","USW00093804","SPARTANBURG WB AP"
"979","USW00093806","TUSCALOOSA AP ASOS"
"980","USW00093807","WINSTON SALEM REYNOLDS AP"
"981","USW00093808","BOWLING GREEN WARREN CO AP"
"982","USW00093810","CARBONDALE STHRN ILLINOIS AP"
"983","USW00093812","CINCINNATI MUNI AP LUNKEN FLD"
"984","USW00093815","DAYTON INTL AP"
"985","USW00093817","EVANSVILLE RGNL AP"
"986","USW00093820","LEXINGTON BLUEGRASS AP"
"987","USW00093821","LOUISVILLE INTL AP"
"988","USW00093823","TERRE HAUTE CAA AP"
"989","USW00093824","ZANESVILLE MUNI AP"
"990","USW00093836","BRUNSWICK GLYNN CO AP"
"991","USW00093842","COLUMBUS METRO AP"
"992","USW00093843","DOTHAN FAA AP"
"993","USW00093845","VALDOSTA RGNL AP"
"994","USW00093846","ANDERSON FAA AP"
"995","USW00093862","TUPELO RGNL AP"
"996","USW00093874","GULFPORT - BILOXI AP"
"997","USW00093909","OLATHE JOHNSON CO IND AP"
"998","USW00093915","ALEXANDRIA INTL AP"
"999","USW00093919","MCCOMB AP"
"1000","USW00093929","GAINESVILLE MUNI AP"
"1001","USW00093937","SULPHUR SPRINGS MUNI AP"
"1002","USW00093947","FREDERICKSBURG GILLESPIE CO AP"
"1003","USW00093950","MCALESTER RGNL AP"
"1004","USW00093967","COFFEYVILLE MUNI AP"
"1005","USW00093983","PALESTINE MUNI AP"
"1006","USW00093985","MINERAL WELLS AP"
"1007","USW00093986","HOBART MUNI AP"
"1008","USW00093987","LUFKIN ANGELINA CO AP"
"1009","USW00093989","QUINCY RGNL AP"
"1010","USW00093990","HILL CITY MUNI AP"
"1011","USW00093991","WALNUT RIDGE MUNI AP"
"1012","USW00093996","FARMINGTON FAA AP"
"1013","USW00093997","RUSSELL MUNI AP"
"1014","USW00093999","VICKSBURG CAA AP 2"
"1015","USW00094012","HAVRE AP ASOS"
"1016","USW00094017","WOLF PT INTL AP"
"1017","USW00094023","GILLETTE CAMPBELL CO AP"
"1018","USW00094025","HAYDEN YAMPA VALLEY AP"
"1019","USW00094028","SIDNEY RICHLAND MUNI AP"
"1020","USW00094030","VERNAL MUNI AP"
"1021","USW00094032","CUSTER CO AP"
"1022","USW00094035","FT COLLINS LOVELAND AP"
"1023","USW00094038","HETTINGER MUNI AP"
"1024","USW00094039","PINE RIDGE AP"
"1025","USW00094040","MCCOOK MUNI AP"
"1026","USW00094050","MEEKER AP"
"1027","USW00094051","JORDAN AP"
"1028","USW00094052","MOBRIDGE MUNI AP"
"1029","USW00094053","TORRINGTON MUNI AP"
"1030","USW00094054","BUFFALO JOHNSON CO AP"
"1031","USW00094055","BAKER MUNI AP"
"1032","USW00094056","FAITH MUNI AP"
"1033","USW00094057","CONVERSE CO AP ASOS"
"1034","USW00094107","ROME STATE AP"
"1035","USW00094119","DEER PARK AP"
"1036","USW00094128","LOGAN CACHE AP"
"1037","USW00094129","PULLMAN MOSCOW RGNL AP"
"1038","USW00094178","TWIN FALLS SUN VALLEY RGNL AP"
"1039","USW00094182","MCCALL AP"
"1040","USW00094185","BURNS MUNI AP"
"1041","USW00094194","REXBURG MADISON CO AP"
"1042","USW00094224","ASTORIA AP (PORT OF)"
"1043","USW00094225","HOQUIAM BOWERMAN AP"
"1044","USW00094227","SHELTON AP"
"1045","USW00094236","KLAMATH FALLS INTL AP"
"1046","USW00094239","WENATCHEE PANGBORN MEM AP"
"1047","USW00094240","QUILLAYUTE AP"
"1048","USW00094248","RENTON MUNI AP"
"1049","USW00094261","PORTLAND-HILLSBORO AP"
"1050","USW00094266","PORT ANGELES FAIRCHILD INTL AP"
"1051","USW00094273","MCMINNVILLE MUNI AP"
"1052","USW00094274","TACOMA NARROWS AP"
"1053","USW00094276","FRIDAY HARBOR AP"
"1054","USW00094281","AURORA STATE AP"
"1055","USW00094285","LAKEVIEW LAKE CO AP"
"1056","USW00094298","VANCOUVER PEARSON AP"
"1057","USW00094299","ALTURAS MUNI AP"
"1058","USW00094623","WISCASSET AP"
"1059","USW00094624","CHATHAM MUNI AP"
"1060","USW00094700","BERLIN MUNI AP"
"1061","USW00094702","IGOR I SIKORSKY MEM AP"
"1062","USW00094704","DANSVILLE MUNI AP"
"1063","USW00094705","MONTPELIER AP"
"1064","USW00094720","HYANNIS BARNSTABLE MUNI AP"
"1065","USW00094723","LAWRENCE MUNI AP"
"1066","USW00094725","MASSENA INTL AP"
"1067","USW00094726","NEW BEDFORD MUNI AP"
"1068","USW00094732","NE PHILA AP"
"1069","USW00094733","PLATTSBURGH CLINTON CO AP"
"1070","USW00094737","RUTLAND STATE AP"
"1071","USW00094740","SARANAC LK ADIRONDACK RGNL AP"
"1072","USW00094741","TETERBORO AP"
"1073","USW00094745","WESTCHESTER CO AP"
"1074","USW00094765","LEBANON MUNI AP"
"1075","USW00094789","JFK INTL AP"
"1076","USW00094790","WATERTOWN AP"
"1077","USW00094793","BLOCK ISLAND STATE AP"
"1078","USW00094794","UTICA ONEIDA CO AP"
"1079","USW00094814","HOUGHTON LAKE ROSCOMMON CO AP"
"1080","USW00094815","KALAMAZOO BATTLE CREEK INTL AP"
"1081","USW00094817","PONTIAC OAKLAND CO INTL AP"
"1082","USW00094818","RACINE BATTEN AP"
"1083","USW00094822","ROCKFORD GTR ROCKFORD AP"
"1084","USW00094830","TOLEDO EXPRESS AP"
"1085","USW00094846","CHICAGO OHARE INTL AP"
"1086","USW00094847","DETROIT METRO AP"
"1087","USW00094849","ALPENA CO RGNL AP"
"1088","USW00094853","ESCANABA DELTA CO AP"
"1089","USW00094855","OSHKOSH WITTMAN RGNL AP"
"1090","USW00094870","CHAMPAIGN URBANA WILLARD AP"
"1091","USW00094889","ANN ARBOR MUNI AP"
"1092","USW00094892","CHICAGO W CHICAGO DUPAGE AP"
"1093","USW00094893","IRON MTN FORD AP"
"1094","USW00094895","MUNCIE DELAWARE CO AP"
"1095","USW00094908","DUBUQUE RGNL AP"
"1096","USW00094910","WATERLOO MUNI AP"
"1097","USW00094929","ASHLAND KENNEDY MEM AP"
"1098","USW00094931","HIBBING CHISHOLM HIBBING AP"
"1099","USW00094938","BRAINERD CROW WING CO AP"
"1100","USW00094943","CHAMBERLAIN MUNI AP"
"1101","USW00094946","BROKEN BOW MUNI AP"
"1102","USW00094948","FAIRMONT MUNI AP"
"1103","USW00094949","HASTINGS MUNI AP"
"1104","USW00094950","MITCHELL AP"
"1105","USW00094960","MINNEAPOLIS CRYSTAL AP"
"1106","USW00094961","BAUDETTE INTL AP"
"1107","USW00094963","MINNEAPOLIS FLYING CLOUD AP"
"1108","USW00094967","PARK RAPIDS MUNI AP"
"1109","USW00094971","ESTHERVILLE MUNI AP"
"1110","USW00094973","HAYWARD MUNI AP"
"1111","USW00094978","TEKAMAH MUNI AP"
"1112","USW00094985","MARSHFIELD MUNI AP"
"1113","USW00094988","MARSHALLTOWN MUNI AP"
"1114","USW00094989","AMES MUNI AP"
"1115","USW00094991","LAMONI MUNI AP"
"1116","USW00094993","SISSETON MUNI AP"
"1117","USW00094994","BOSCOBEL AP"
